Models	Trait	Sex	Population	Line	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	TL	M	YE	YE11	854.372791990793	26.1019240089031	803.213961006141	905.531622975444	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	YE	YE13	827.568963443291	15.660139564299	796.875653904395	858.262272982188	183.645120625979	0.00286995173830876	2	1.15555555555556
lmers	TL	M	YE	YE14	833.841314251955	15.6585444347615	803.151131109502	864.531497394408	183.645120625979	0.00286995173830876	2	1.15555555555556
lmers	TL	M	YE	YE15	841.616791990793	26.8089782902398	789.072160079607	894.161423901979	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	YE	YE19	843.805352526105	15.7364343784507	812.962507899264	874.648197152946	183.645120625979	0.00286995173830876	2	1.15555555555556
lmers	TL	M	YE	YE20	810.27101180367	22.4526713915229	766.264584519573	854.277439087768	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	YE	YE22	824.982011803671	19.7229402882966	786.325759169375	863.638264437966	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	YE	YE26	860.657011803671	22.4526713915229	816.650584519573	904.663439087768	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	YE	YE27	878.205011803671	19.7229402882966	839.548759169375	916.861264437966	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	YE	YE33	866.226011803671	19.7229402882966	827.569759169375	904.882264437966	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	YE	YE40	850.45001180367	19.7229402882966	811.793759169375	889.106264437966	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	YE	YE48	858.676011803671	19.7229402882966	820.019759169375	897.332264437966	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	YE	YE49	850.954011803671	19.7229402882966	812.297759169375	889.610264437966	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	YE	YE51	861.504011803671	22.4526713915229	817.497584519573	905.510439087768	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	YE	YE80	848.351011803671	19.7229402882966	809.694759169375	887.007264437966	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	RE	RE1	868.159887852681	19.8712087632261	829.213034347481	907.10674135788	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	RE	RE10	866.08888785268	19.8712087632261	827.142034347481	905.03574135788	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	RE	RE11	878.39888785268	19.8712087632261	839.452034347481	917.34574135788	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	RE	RE12	828.49788785268	19.8712087632261	789.551034347481	867.44474135788	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	RE	RE13	828.18088785268	19.8712087632261	789.234034347481	867.12774135788	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	RE	RE15	858.27988785268	19.8712087632261	819.333034347481	897.22674135788	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	RE	RE16	855.25188785268	22.5839127192724	810.988232292911	899.51554341245	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	RE	RE17	847.50888785268	19.8712087632261	808.562034347481	886.45574135788	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	RE	RE2	876.57188785268	19.8712087632261	837.62503434748	915.51874135788	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	RE	RE3	867.75088785268	22.5830249681417	823.488972253154	912.012803452207	183.645120625979	0.00286995173830876	1	1.15555555555556
lmers	TL	M	RE	RE6	882.05088785268	19.8712087632261	843.10403434748	920.99774135788	183.645120625979	0.00286995173830876	1	1.15555555555556
