Supervisor.PI,Diet,Batch,Population,Line,Sex,ReplicateVialOld,ReplicateVial,Individual,TL_micrometers,Country,Latitude,Longitude,Altitude
Ritchie,S,9,GI,GI3,M,2,Ritchie_9_GI3_2,210,1809,Spain,41.618,0.62,173
Ritchie,S,4,KA,KA2,F,2,Ritchie_4_KA2_2,1241,1232,Denmark,55.945,10.213,15
Kozeretska,NS,1,VA,VA26,M,1,Kozeretska_1_VA26_1,3,1197,Russia,57.979,33.244,217
Kozeretska,NS,2,MA,MA7,F,1,Kozeretska_2_MA7_1,8,1153,Austria,48.375,15.56,572
Ritchie,S,7,KA,KA3,F,3,Ritchie_7_KA3_3,1362,1133,Denmark,55.945,10.213,15
Ritchie,S,10,MA,MA7,F,2,Ritchie_10_MA7_2,1819,1128,Austria,48.375,15.56,572
Schmidt,NS,1,RE,RE4,F,1,Schmidt_1_RE4_1,3,1126.949866,Portugal,41.15,-8.41,175
Kozeretska,NS,2,KA,KA14,F,1,Kozeretska_2_KA14_1,16,1126,Denmark,55.945,10.213,15
Kozeretska,NS,1,MA,MA33,F,1,Kozeretska_1_MA33_1,7,1124,Austria,48.375,15.56,572
Schmidt,NS,1,RE,RE2,F,1,Schmidt_1_RE2_1,3,1123.620446,Portugal,41.15,-8.41,175
Ritchie,S,10,MA,MA7,F,2,Ritchie_10_MA7_2,1818,1120,Austria,48.375,15.56,572
Ritchie,S,3,YE,YE11,F,3,Ritchie_3_YE11_3,546,1118,Turkey,40.231,32.26,680
Schmidt,NS,1,MA,MA7,F,1,Schmidt_1_MA7_1,3,1117.08,Austria,48.375,15.56,572
Kozeretska,NS,1,YE,YE26,F,1,Kozeretska_1_YE26_1,14,1116,Turkey,40.231,32.26,680
Schmidt,NS,1,GI,GI14,F,1,Schmidt_1_GI14_1,7,1114.67,Spain,41.618,0.62,173
Schmidt,NS,1,VA,VA46,F,1,Schmidt_1_VA46_1,3,1114.470579,Russia,57.979,33.244,217
Schmidt,NS,1,KA,KA17,F,1,Schmidt_1_KA17_1,9,1113.017376,Denmark,55.945,10.213,15
Kozeretska,NS,1,AK,AK11,F,1,Kozeretska_1_AK11_1,17,1112,Finland,61.1,23.52,88
Kozeretska,NS,1,MA,MA33,F,1,Kozeretska_1_MA33_1,5,1112,Austria,48.375,15.56,572
