"Population","Line","CCRT_F","CCRT_M","CSM_F","CSM_M","DT_A_F","DT_A_M","DT_P_NA","Dia_F","DW_F","DW_M","Fec_F","HSM_F","HSM_M","LS_F","LS_M","LA_Activity_B","LA_CircPhase_B","LA_NDlog2_B","LA_Period_B","Pgm_T4_F","Pgm_T5_F","Pgm_T6_F","Pgm_Total_F","SR_F","SR_M","TL_F","TL_M","Via_NA","WA_L_F","WA_L_M","WA_R_F","WA_R_M"
"YE","YE11",1740.78014749793,1830.57635484499,1.32756260870455,1.19639851228955,235.47316046703,239.14857755672,144.083245975657,0.973333950275046,0.419274073149485,0.226008376422443,56.7085147978498,288.578671838681,261.693542200635,41.3608278517513,39.9846854867153,31.5656408665359,12.8322211821897,0.0138517775849427,24.1062260327892,0.42877149878585,0.50162482594118,0.631866802623506,0.524979511134755,76.461318619446,49.8125309184227,986.529546348837,854.372791990793,0.610406931847548,2829.45958635281,2437.48869115172,2838.88609069956,2456.54199097218
"YE","YE13",1781.78869146382,1656.55066976293,1.22603878904267,1.15842626732522,226.772594975212,230.110117920962,132.163245975657,0.844711424804955,0.448940507039871,0.263239910726581,62.4603180289335,359.643697682662,346.813146420587,47.4555103625295,50.0594596259006,38.8756408665359,12.7342211821897,0.139851777584943,24.1412260327892,0.453210839528214,0.585045302808384,0.681487249067365,0.561508664608645,81.6024864266735,62.4208458704758,963.033557298133,827.568963443291,0.900836615970374,2853.72095658943,2450.39983364323,2848.77231663227,2457.10106591615
"YE","YE14",1671.89741536203,1657.12116602473,0.982446065977616,0.999653328178588,225.144430203822,225.818374067354,127.666245975657,1.78154916910567,0.439679575861295,0.256488444482983,58.1597261719504,365.100513535311,332.239921862007,41.4702499999978,51.009448553736,41.7556408665359,12.7772211821897,-0.0681482224150573,24.0872260327892,0.427710463928539,0.378072778396841,0.311215592582512,0.394110378293262,65.8959758637516,55.0739974402751,985.298921112352,833.841314251955,0.884919978255561,2736.09744230707,2392.328556618,2736.51965573921,2391.01395414191
"YE","YE15",1362.91124528981,1652.72850562755,1.33034485981018,1.30562441633955,225.208629251724,229.909569528124,134.133245975657,1.63438201440632,0.445939771827082,0.258796375159051,61.7284909053886,351.976342998459,318.079122607803,43.8197938221661,46.6690634774229,43.4756408665359,12.8322211821897,-0.0181482224150573,24.1052260327892,0.46382650613871,0.527464082323548,0.497632454849758,0.513084885944827,80.4821240677045,53.3689419480647,1014.57714333922,841.616791990793,0.86061950274971,2877.53497723102,2453.58292530376,2878.92263869039,2454.84104162974
"YE","YE19",1472.41140713473,1779.76227063632,1.26754597688502,1.30266876696592,222.204471154725,228.196080068303,147.718245975657,2.22901089034287,0.42156342076493,0.221925250267843,57.2902355875985,366.701415993734,311.61880490102,49.2573334304501,49.8990731402584,43.7626408665359,12.8512211821897,-0.0121482224150573,24.0312260327892,0.446928097343712,0.586169807755892,0.765225381576256,0.604331456400822,81.8758048274115,55.8378011594196,980.312008159719,843.805352526105,0.899402853770516,2841.3940023422,2418.46216813647,2841.99690831191,2424.04319690656
"YE","YE20",1591.95137619861,1699.02074637502,1.23309995245467,1.07737383187546,224.517638190189,228.04113741769,133.884245975657,1.89190942572472,0.448106844067053,0.248156856722517,33.11559054833,331.845513535311,321.148921862007,45.6492499999978,45.355448553736,42.8986408665359,12.8342211821897,0.00585177758494274,24.1002260327892,0.41428023562756,0.639004880337001,0.770421207844159,0.613512783730094,74.9799920168892,52.4536226349644,968.094711835306,810.27101180367,0.708077345304451,2825.87862534283,2458.56407323516,2830.40962881873,2458.45093822001
"YE","YE21",1708.44673251727,1633.44091551374,1.11470230804614,1.03464582309577,226.49196272976,230.500775657382,135.402245975657,1.55767121855157,0.481358901772223,0.250933621268753,30.8534363928696,375.153905014512,323.823659637085,46.2986219200254,47.8417156890616,33.6236408665359,12.8292211821897,0.393851777584943,24.0762260327892,0.513671243210307,0.72664192017212,0.839402234332896,0.679711711113132,84.7154846696035,56.2300109588581,1016.39419204711,NA,0.685812247252832,2876.35122600241,2510.69765383861,2876.71201350916,2506.15018913068
"YE","YE22",1709.37107439417,1695.33740509599,1.23963326699284,1.28728385452508,223.433654673095,229.781860058125,121.594245975657,1.92003886451111,0.437205959354631,0.243447420965473,74.4937337300717,318.83678456752,198.239545170442,49.739660416445,50.8443467741391,25.8996408665359,12.8492211821897,-0.313148222415057,24.1012260327892,0.536397937915868,0.719573296230896,0.863432151295198,0.700307218668817,82.2747524337362,58.3653200624678,977.765272987858,824.982011803671,0.834743869446737,2819.70355228848,2445.15411339167,2819.96476080207,2446.37775405146
"YE","YE23",1795.40025418107,2016.18632122385,1.190551424136,1.30885988676692,223.678821878375,231.650368258697,137.315245975657,1.78541035888117,0.456385031646791,0.239632450074063,69.5486329232635,309.815767318046,263.453475627791,47.4663440289958,46.0506498173249,NA,NA,NA,NA,0.552991651709753,0.674202033892828,0.666838682294917,0.633361416863755,70.4062140525352,50.2392215512384,1013.23519204711,NA,0.770855765580292,2786.44225648246,2443.37494056774,2785.80552940614,2442.83540430315
"YE","YE24",1558.83787232509,1623.84815411055,1.1327468513816,0.987120106336336,232.51921923407,236.569118831331,125.844245975657,1.66657356516878,0.459140832048141,0.268054736173063,84.1941287804273,363.36121214093,344.977753575278,44.9676576106991,46.0695692648942,29.7636408665359,12.7962211821897,0.160851777584943,24.0952260327892,0.482410031201752,0.625873398665185,0.666341601211376,0.596603331857713,78.8430476111352,61.9951736206882,1040.02019204711,NA,0.804893825969572,2817.3238478653,2466.14223645092,2818.75564376785,2468.25325144997
"YE","YE26",1569.5180076595,1611.52940488762,1.19268952703695,1.18620676967029,227.566177723925,236.690706682875,144.247245975657,1.68804221499332,0.43898328049454,0.256747601262973,37.3514777261759,350.456234299367,324.249252887011,47.4485813806142,49.195507866552,40.6516408665359,12.8502211821897,0.0278517775849427,24.0892260327892,0.485711819119062,0.582243147422642,0.646884657634637,0.570841588191401,84.7561686008186,62.1990479699546,999.539460793052,860.657011803671,0.683498529872139,2797.68722600241,2422.38465383861,2794.58101350916,2420.04118913068
"YE","YE27",1457.18331490567,1784.2418033229,1.07175611584315,1.15705834612401,225.687270481316,228.668758842652,139.484245975657,1.43121690405139,0.476028385946569,0.288421460552146,46.1076875810963,332.182513535311,295.855921862007,37.9562499999978,44.247448553736,31.9526408665359,12.9162211821897,0.112851777584943,24.1092260327892,0.493716999081978,0.563499899474057,0.638121262601341,0.56534064736688,82.4596809321169,62.549409811164,1004.71683170031,878.205011803671,0.784868528130141,2891.44622600241,2525.57365383861,2889.80801350916,2522.76418913068
"YE","YE33",1755.8473317713,1694.21612142228,1.14050956236648,1.22805824879018,229.632774436949,236.852365346288,151.350245975657,2.20708548530304,0.505117610810897,0.263782292525074,62.1095859512072,324.677865788006,244.123754966317,45.3135595112089,48.478465256395,39.1616408665359,12.8752211821897,0.0588517775849427,24.0622260327892,0.440459982023292,0.501886061866842,0.44905814350589,0.478421396373793,104.114082412703,62.2011651760257,972.878552891183,866.226011803671,0.796958931014006,2809.94231079459,2464.17982595824,2809.236693216,2464.67065346585
